21451601:[51.5562743, 7.4443532]
21451604:[51.5566663, 7.4443691]
21451606:[51.5568392, 7.4441964]
21451609:[51.5569414, 7.4440135]
21451611:[51.5570184, 7.4438607]
21451613:[51.5570758, 7.4437364]
21451617:[51.5575411, 7.4439052]
21451619:[51.557999, 7.4438483]
21451620:[51.5582055, 7.4437955]
21451622:[51.5584375, 7.4436648]
21451623:[51.5586641, 7.4435297]
21451625:[51.5592309, 7.4432293]
21451627:[51.5601641, 7.4427379]
21451628:[51.5607886, 7.4423688]
21451631:[51.5617759, 7.4414879]
21451633:[51.5622262, 7.4412155]
21451639:[51.5639367, 7.44057]
21451642:[51.5648791, 7.44064]
21451646:[51.5650178, 7.4406194]
21451649:[51.5651368, 7.4404739]
21451655:[51.5656951, 7.4381976]
21453648:[51.5557422, 7.444193]
21453650:[51.5556173, 7.4401259]
21453651:[51.5554078, 7.4369764]
21453652:[51.5553084, 7.4357079]
21453656:[51.5550432, 7.4264662]
21453657:[51.5552116, 7.4256441]
21453660:[51.5548869, 7.4248231]
21453661:[51.5544346, 7.4246967]
21453662:[51.5539689, 7.4248457]
21453663:[51.5537662, 7.4251596]
21453671:[51.5493346, 7.4279024]
21453674:[51.5480412, 7.4283446]
21453676:[51.5470421, 7.4280722]
21453678:[51.5457081, 7.4283143]
21724416:[51.575439, 7.4209132]
21724417:[51.5743437, 7.4243605]
21724418:[51.5733383, 7.4264763]
21724419:[51.5712476, 7.4292152]
21724420:[51.5679949, 7.4312792]
21724421:[51.5656737, 7.4324662]
21724422:[51.5626159, 7.4340768]
21724423:[51.559163, 7.4356195]
21724424:[51.5564603, 7.4361954]
21724425:[51.5537132, 7.4367658]
21724426:[51.5507058, 7.4363187]
21724504:[51.54854, 7.4394881]
21724505:[51.5478104, 7.4398175]
21724506:[51.5463237, 7.4448549]
21724507:[51.5460407, 7.4446385]
21724508:[51.5483936, 7.4364618]
21724509:[51.5476131, 7.4361516]
22370450:[51.5579299, 7.4627624]
22370461:[51.55735, 7.46145]
22370472:[51.5569023, 7.4601577]
22370478:[51.5565333, 7.45935]
22370484:[51.5562814, 7.4587749]
22370489:[51.5559833, 7.4580667]
